configuration,QWK,macro F1,MAE,severe-vs-rest F1
CNN only (softmax),0.24918193203792605,0.46031171422346007,0.3898727172108467,0.6986492780624126
CNN only (CORAL),0.0,0.26261948683548547,0.35832872163807417,0.7878584605064565
"+ tissue, concat",0.9458122998973993,0.6953289227094829,0.027116768123962368,0.993015873015873
"+ tissue, gated (TGO-Net)",0.8954536897158154,0.6569037324425251,0.05174322080796901,0.9770450751252087
"+ tissue, gated + SMOTE",0.9074997503786509,0.7167779697848427,0.050359712230215826,0.9852693602693603
CNN only + SMOTE,0.12903451091775697,0.36486069355535294,0.42584394023242944,0.742724995182116
